iter	Passed	Remaining
0	207	207118
1	208	104063
2	209	69691
3	210	52491
4	211	42123
5	212	35206
6	213	30274
7	214	26578
8	215	23694
9	216	21390
10	216	19500
11	217	17926
12	220	16734
13	221	15588
14	222	14590
15	223	13716
16	223	12945
17	224	12257
18	225	11642
19	226	11089
20	227	10590
21	228	10136
22	228	9721
23	229	9340
24	230	8989
25	231	8665
26	233	8428
27	234	8149
28	235	7888
29	236	7645
30	237	7418
31	238	7207
32	239	7010
33	240	6825
34	241	6650
35	242	6484
36	243	6327
37	244	6179
38	245	6037
39	247	5942
40	248	5812
41	249	5686
42	250	5567
43	250	5452
44	251	5343
45	252	5239
46	253	5144
47	254	5049
48	255	4960
49	256	4874
50	257	4789
51	258	4707
52	260	4659
53	261	4586
54	262	4515
55	263	4446
56	264	4377
57	265	4311
58	266	4246
59	266	4182
60	267	4120
61	268	4061
62	269	4005
63	270	3950
64	270	3897
65	271	3845
66	272	3795
67	274	3768
68	275	3721
69	276	3676
70	277	3632
71	278	3588
72	279	3547
73	280	3507
74	281	3466
75	281	3427
76	282	3388
77	283	3352
78	284	3315
79	285	3280
80	286	3245
81	286	3211
82	288	3191
83	290	3163
84	291	3132
85	291	3101
86	292	3071
87	293	3041
88	294	3012
89	295	2984
90	295	2956
91	296	2929
92	297	2902
93	298	2875
94	299	2850
95	300	2825
96	300	2800
97	303	2792
98	304	2771
99	305	2749
100	306	2727
101	307	2708
102	308	2687
103	309	2665
104	310	2644
105	311	2623
106	311	2602
107	312	2582
108	313	2562
109	314	2542
110	315	2523
111	315	2504
112	318	2501
113	319	2484
114	320	2467
115	322	2455
116	323	2438
117	324	2422
118	325	2410
119	327	2398
120	328	2384
121	329	2369
122	330	2356
123	332	2347
124	333	2335
125	334	2322
126	335	2307
127	336	2293
128	337	2281
129	338	2268
130	340	2255
131	340	2242
132	341	2228
133	344	2227
134	345	2216
135	346	2203
136	347	2191
137	348	2179
138	349	2166
139	351	2156
140	352	2146
141	352	2132
142	353	2121
143	354	2109
144	355	2099
145	359	2101
146	360	2090
147	361	2081
148	363	2073
149	364	2064
150	367	2063
151	369	2060
152	370	2051
153	373	2050
154	374	2043
155	376	2034
156	377	2025
157	378	2015
158	379	2004
159	380	1995
160	380	1985
161	382	1976
162	383	1966
163	383	1956
164	384	1945
165	385	1935
166	388	1938
167	389	1930
168	390	1921
169	391	1912
170	392	1903
171	393	1894
172	394	1884
173	395	1875
174	395	1865
175	396	1856
176	397	1847
177	398	1838
178	398	1829
179	399	1820
180	402	1822
181	403	1813
182	404	1805
183	405	1797
184	406	1789
185	407	1781
186	407	1773
187	408	1765
188	409	1757
189	410	1749
190	411	1741
191	411	1733
192	412	1725
193	413	1717
194	414	1710
195	417	1712
196	418	1705
197	419	1698
198	420	1691
199	421	1684
200	421	1677
201	422	1670
202	423	1663
203	424	1656
204	425	1651
205	427	1647
206	428	1641
207	431	1642
